draft,type,num,date,day,slides,readings,assignments,
,,1,03-Sep,Tue,"Introductions

* [Course Overview](slides/intro/overview.html) 
* [Github Usage Form](https://docs.google.com/forms/d/e/1FAIpQLSf1jh4xLGK_16d_Z7uJlVU9fYIOjnRpkqZSt_APaQTJNqPMgA/viewform) (survey)
* Discuss Quizzes/Readings (one class ahead)

Python 3 Ecosystem and Installation

* [Python Development Environment](slides/python/tools.html)

Python Basics 

* See readings on Python Basics
* Different Ways to Run Python (demo)
  * running python on the commandline
  * interactive shell, IPython
  * jupyter notebook / lab
* Modules (demo)
  * [creating modules screencast](https://www.youtube.com/watch?v=1lrsLvwACPc&feature=youtu.be) 
  * pro tip: set to 2x speed
  * (I talk too slowly)

File I/O

* [Working with Files](notebooks/py/file-io.ipynb) (notebook)

Unicode and Strings

* [Encodings, Bytes and Strings](notebooks/py/unicode-bytes-strings.ipynb) (notebook)

","Python for Data Analysis
 
 * Ch 1: Preliminaries
 * Ch 2: Python Language Basics, Ipython, Jupyter Notebooks
 
 Data Science from Scratch
 
 * Ch 2: A Crash Course in Python (The Zen of Python to Modules, Control Flow)
 
 Online Resources
 
 * [The Absolute Minimum Every Software Developer Absolutely, Positively Must Know About Unicode and Character Sets (No Excuses!)](https://www.joelonsoftware.com/2003/10/08/the-absolute-minimum-every-software-developer-absolutely-positively-must-know-about-unicode-and-character-sets-no-excuses/)
 * [What Every Programmer Absolutely, Positively Needs To Know About Encodings And Character Sets To Work With Text](http://kunststube.net/encoding/)
 * [Unicode HOWTO](https://docs.python.org/3/howto/unicode.html)","__Quiz #01__ – due Thur, 9/5, at 11am (before class)

* find it on NYU Classes
* check the Tests and Quizzes section 

__Homework #00__ – due Thur, 9/5, at 11am (before class)

0. [Fill out this survey!](https://docs.google.com/forms/d/e/1FAIpQLSf1jh4xLGK_16d_Z7uJlVU9fYIOjnRpkqZSt_APaQTJNqPMgA/viewform)
1. Install a Python 3 Environment
  * use [Anaconda](https://conda.io/docs/user-guide/install/index.html)
  * if you’re already familiar with Python, you can manually install:
  * Python 3 (using `apt`, `homebrew`, etc.)
  * `matplotlib`, `jupyterlab` (or notebook), `pandas`, `numpy` (using `easy-install`, `pip`, etc.)
2. Try to view class note by downloading notebooks and using `jupyter-lab`
3. Go over readings for class 1 and 2

<!--
3. [Homework #00 Instructions](assignments/00.html)
-->
",
,,2,5-Sep,Thu,"Types

<!--
* [Types](slides/python/types.html)
-->

Sequence Types, Mapping Types, Sets

* [Sequences, Dictionaries and Sets](notebooks/py/sequences.ipynb) (notebook)
* [Slides from Prof. Bloomberg](https://nyu-computer-science.github.io/data-management-and-analysis/useful-types/)
* [Addendum to Sequences from Prof. Bloomberg](https://raw.githubusercontent.com/nyu-computer-science/data-management-and-analysis/master/notebooks/sequences.ipynb) (notebook)

<!--
* [Sequence Types](slides/python/sequence-types.html)
* [Mapping Types](slides/python/mapping-types.html)
* [Sets](slides/python/sets.html)
-->

Functions and Functions as Objects

* [\* and \*\*, Keyword Arguments](notebooks/py/functions.ipynb) (notebook)
* Functions as Objects,  sorted, max, etc.
* Lambdas
* [Decorators](slides/python/decorators.html)

<!--
* @functools.wraps
-->

Classes

* [Named Tuples and Classes](slides/python/classes-objects.html)

Type Annotations (optional)

<!--
* [Type Annotations](slides/python/type-annotations.html)
-->","Python for Data Analysis
 
 * Ch 3: Built-in Data Structures, Functions and Files
 
 Data Science from Scratch
 
 * Ch 2: A Crash Course in Python (Functions to Sets, Automated Testing and Asserts to Object Oriented Programming, Functional Programming to Type Annotations)
 
 Online Resources
 
 * [Primer on Python Decorators](https://realpython.com/primer-on-python-decorators/)","
__Quiz #02__ – due Tue __morning__, 9/10, at 11am (just before class)

* find it on NYU Classes
* check the Tests and Quizzes section

(Quiz #01 was reopened)",
,,3,10-Sep,Tue,"Classes Continued (protocols / double underscore)

* Double Underscore Methods
* Inheritance


List/Dictionary/Set Comprehension

* sorted, max, min, etc. 
* list comprehensions
* set comprehensions
* dictionary comprehensions

Manual Data Extraction and Transformation

* Manual Data Extraction

Distributions and Descriptive / Summary Statistics

* Descriptive Statistics","Online Articles

[Operator Overloading from Real Python](https://realpython.com/operator-function-overloading/)

Data Science from Scratch
 
 * Ch 2: A Crash Course in Python (Sorting and List Comprehensions)
 * Ch 5: Statistics (Describing a Single Set of Data)
 
 Think Stats
 
 * Ch 1: Exploratory Data Analysis
 * Ch 2: Distributions","<!--__Homework #01__ – due Wed 9/26 (extended from Mon, 9/24), at 11pm

1. [Homework #01 Instructions](assignments/01.html)
  * vector class
  * simple data load, transform and 
  * analysis  with file data: requires lists, 
  * requires dictionaries
  * create csv class, allow delimiter change, watch out for commas in data
  * write tests?
  * text analysis 
* histogram
* birthday paradox
* syllabic poetry
* mean, median, mode, etc.

__Quiz #03__ – due Wed, 9/26, at 11pm

* (see NYU Classes)
-->","LECTURE:
 * central tendency (mean, average)
 * dispersion (spread, min, max, standard * deviation std dev pop)
 * other (mode, frequency, skewedness)
 
 MATERIAL:
 * TODO - unbiased vs biased (n - 1 vs n)
 https://www.khanacademy.org/math/statistics-probability/summarizing-quantitative-data/variance-standard-deviation-sample/a/population-and-sample-standard-deviation-review
 * TODO - descriptive / summary statistics
 * TODO - manual data extraction
 * TODO - magic methods
 * TODO DEMO - need data set to show exploratory..
 
 HW 01:
 * vector class
 * simple data load, transform and * analysiswith file data: requires lists, * requires dictionaries
 * create csv class, allow delimiter change, watch out for commas in data
 * write tests?
 * text analysis"
y,,4,12-Sep,Thu,"Iterators and Generators

* [Classes, Iterators, Generators](notebooks/classes-review.ipynb) (notebook)

File Formats

* [Data File Formats](slides/python/file-types.html) (slides)

Vectors and Matrices (numpy)

* [quick numpy demo](notebooks/numpy/numpy-basics.ipynb) (notebook)","Data Science from Scratch
 
 * Ch 2: A Crash Course in Python (Iterators and Generators)
 * Ch 4: Linear Algebra
 
 Python for Data Analysis
 
 * Ch 4: Numpy Basics: Arrays and Vectors
 * Ch 6. Data Loading, Storage, and File Formats (Skip Web Requests and Database)",,"DEMO:
 * load file with numeric data
 * use loops or comprehensions to calculate
 * vectorized operation
 
 MATERIAL
 * TODO - add linear algebra
 * motivation for linear algebra… some example? Maybe https://www.youtube.com/watch?v=Qz58vTa8-SY"
y,,5,17-Sep,Tue,"Vectors and Matrices (numpy) continued

* [Numpy Array Basics](slides/python/numpy-basics.html) (slides)
* [Companion In-Class NumPy Basics Notebook](notebooks/numpy/numpy-basics-in-class-notebook.ipynb) (notebook)

Data ""Munging"" (Cleaning and Prepping Data with Pure Python)

* TODO - moar data munging

Plotting and Visualization

* [Matplotlib pt 1](slides/viz/matplotlib-review.html)
* [Matplotlib pt 2](slides/viz/matplotlib-extras.html)
* figure, add_subplot, oop
* [What is this .txt file?](notebooks/viz/files/enc.txt)
 * clue: etaonisrhdlumcfwgpybvkxjqz
* [Y U Grow So Fast?](https://catalog.data.gov/dataset/population-by-country-1980-2010)
* [Pandas Pops (same as above) or Hot pandas (Global Surface Temperature Change)](https://data.giss.nasa.gov/gistemp/tabledata_v3/GLB.Ts+dSST.txt)
* [Matplotlib Basics Class Notes](notebooks/viz/matplotlib-basics.ipynb) (notebook)","Data Science from Scratch
 
 * Ch 3: Visualizing Data
 * Ch 10: Working with Data
 
 Python for Data Analysis
 
 * Ch 9: Plotting and Visualization","HW 02:
 * Choose data set and visualize… motivate usage of numpy maybe?
 * Create data frame like library - no loops, only generator expressions 
 * Manual Cleaning
 * music generator (numpy) no loops only vector operations","HW 02:
 * Choose data set and visualize… motivate usage of numpy maybe?
 * Create data frame like library - no loops, only generator expressions 
 * Manual Cleaning
 * music generator (numpy) no loops only vector operations"
y,,6,19-Sep,Thu,"Tabular Data (pandas)

* [Pandas Basics](slides/python/pandas-basics.html) (slides)
* [Arithmetic, Basic Selection, Indexing, etc.](slides/python/pandas-review-arithmetic-index.html) (slides)
* [Pandas Functions, Function Application](slides/python/pandas-func-ops.html) (slides)

Descriptive Statistics Revisited

* TODO - descriptive statistics revisited

Correlation and Covariance

* TODO - Correlation and Covariance","Data Science from Scratch
 
 * Ch 5: Statistics (Correlation, Correlation and Causation)
 
 Python for Data Analysis
 
 * Ch 5. Getting Started with pandas",,
y,,7,24-Sep,Tue,"Cleaning / Preparing Data, Loading Data Revisited (with pandas)

* [Pandas for reading files, About APIs, cleaning / preparing data (and pandas basics review)](notebooks/pandas/basics-review-cleaning-regex-api.ipynb) (notebook)
* Sample Data
  * [DOHMH Dog Bite Data](https://data.cityofnewyork.us/api/views/rsgh-akpg/rows.csv?accessType=DOWNLOAD)
  * [NBA news](https://stats-prod.nba.com/wp-json/statscms/v1/rotowire/player/?team=sixers&limit=3)
  * [UK Carbon Intensity](https://api.carbonintensity.org.uk/)

Using APIs

* [Data Formats on the Web](slides/data/web-data.html)
* [Making Requests](slides/data/api-request.html)
  * TODO -  A little bit about the web, urllib, request vs actual library
* Using an API 
  * Pagination and Flattening
  * .append method
  * export to csv
  * .reset_index
* [Scraping, Using an API Class Notes](notebooks/web/data-from-the-web.ipynb) (notebook)
  * note that you must manually fill in url for API example
* pandas for writing files","Data Science from Scratch
 
 * Ch 9: Getting Data (Using APIs, Example: Using the Twitter APIs)
 
 Python for Data Analysis
 
 * Ch 6: Data Loading, Storage, and File Formats
 * Focus on Scraping
 * Focus on APIs
 * Ch 7: Data Cleaning and Preparation","__Homework #03__ – due Tue 10/9 at 11pm

1. [Homework #03 Instructions](assignments/03.html)","HW 03 
* use an API
* clean data
* standalone analysis
* password cracker

MATERIAL
* TODO - using an API
* TODO - formal approach to cleaning data, what to do with missing values, etc.
* TODO - look at ""Bad Data"" book?
"
y,,8,26-Sep,Thu,"Regular Expressions

* TODO - regular expressions

Curating Data

* TODO - bad data?

Screen Scraping

* see above for scraping
* [What happened to my F.R.I.E.N.D.S? (imdb scrape)](https://www.imdb.com/title/tt0108778/fullcredits?ref_=tt_cl_sm#cast)
  * requests + beautiful soup
  * re.find, match object

Join Combine and Reshape

* TODO - join combine and reshape","Data Science from Scratch
 
 * Ch 2: A Crash Course in Python (Regular Expressions)
 * Ch 9: Getting Data (Scraping the Web)
 
 Python for Data Analysis
 
 * Ch 8: Data Wrangling: Join, Combine and Reshape",,"MATERIAL:
 TODO - slides for join, combine
 TODO - slides for regular expressions
 TODO - data set for joins?"
y,,9,01-Oct,Tue,"Data Aggregation

* TODO - data aggregation
* Group By
* Aggregations (sum, count, etc.)

Time Series

* TODO - time series, top things you get wrong about times!
* datetime
* Time Zones
* Time Series
* Windowing","Python for Data Analysis
 
 * Ch 10: Data Aggregation and Group Operations
 * Ch 11: Time Series","HW 04:
 * time based data analysis with aggregation using pandas
 * use joins
 
 ","MATERIAL:
 TODO - Aggregation
 TODO - Time Series
 TODO - find data for aggregation and time series demo"
y,,10,03-Oct,Thu,"Relational Database Overview

* [Databases intro](slides/db/intro.html)
* [Slides for all topics below (Postgres, SQL Basics)](slides/db/postgres.html)


CREATE, INSERT, and SELECT

* TODO - create, insert and select

Single Table

* TODO - single table querying

Commandline Client, SQL, and Simple Queries

* TODO - review previous slides
* commandline vs graphical / datagrip
* psql
* Insert
* Select","Practical SQL
 
 * Introduction
 * Ch 1: Creating Your First Database and Table
 * Ch 2: Beginning Data Exploration with SELECT
 * Ch 16: Using Postgres from the Commandline
 
 Postgres Documentation
 
 * [creating tables](https://www.postgresql.org/docs/current/static/sql-createtable.html)
 * [INSERT](https://www.postgresql.org/docs/current/static/sql-insert.html)
 * [SELECT](https://www.postgresql.org/docs/current/static/sql-select.html)",,
